,AEM CN Equity,AQN CN Equity,ATD CN Equity,BMO CN Equity,BNS CN Equity,ABX CN Equity,BCE CN Equity,BAM CN Equity,BN CN Equity,BIP-U CN Equity,CAE CN Equity,CCO CN Equity,CAR-U CN Equity,CM CN Equity,CNR CN Equity,CNQ CN Equity,CP CN Equity,CTC/A CN Equity,CCL/B CN Equity,CVE CN Equity,GIB/A CN Equity,CSU CN Equity,DOL CN Equity,EMA CN Equity,ENB CN Equity,FM CN Equity,FSV CN Equity,FTS CN Equity,FNV CN Equity,WN CN Equity,GIL CN Equity,H CN Equity,IMO CN Equity,IFC CN Equity,K CN Equity,L CN Equity,MG CN Equity,MFC CN Equity,MRU CN Equity,NA CN Equity,NTR CN Equity,OTEX CN Equity,PPL CN Equity,POW CN Equity,QSR CN Equity,RCI/B CN Equity,RY CN Equity,SAP CN Equity,SHOP CN Equity,SLF CN Equity,SU CN Equity,TRP CN Equity,TECK/B CN Equity,T CN Equity,TRI CN Equity,TD CN Equity,TOU CN Equity,WCN CN Equity,WPM CN Equity,WSP CN Equity
2015-07-08,36.36,9.35,27.02,73.6,63.62,13.12,52.91,,23.4446,23.0081,14.54,17.26,27.59,45.545,72.43,16.2802,39.688,132.26,31.64,18.66,48.64,491.031,25.2,40.3,58.29,14.73,35.85,36.07,59.08,100.67,41.63,,47.63,89.29,2.83,50.9799,70.05,22.7,33.47,46.52,,24.915,40.12,31.84,49.35,43.92,75.62,29.54,3.705,41.43,34.44,45.476,11.49,21.835,54.8232,52.22,36.43,45.5244,19.57,40.01
2015-07-09,36.35,9.14,26.585,73.32,63.08,12.88,52.57,,22.9865,22.6579,14.18,17.04,27.61,45.375,71.75,16.1864,39.258,130.73,31.88,18.47,48.54,482.629,24.9133,39.75,57.41,15.41,35.43,35.3,58.5,99.78,41.91,,46.6,89.51,2.76,50.8032,69.77,22.63,33.43,46.19,,24.865,39.11,31.14,48.46,43.19,75.48,28.8,3.703,41.09,33.79,45.057,11.37,21.75,54.4576,51.8,36.15,44.9706,19.43,39.71
2015-07-10,35.4,9.27,26.6825,74.19,63.58,12.82,53.36,,23.2498,22.7102,14.52,17.0,27.6,45.745,72.94,16.29,39.916,131.91,32.552,18.19,49.38,507.602,25.3633,40.01,57.69,15.58,37.08,36.28,57.97,100.38,42.45,,46.53,89.91,2.66,51.245,70.21,23.14,33.6,46.86,,24.805,39.41,31.61,49.25,43.64,76.58,29.13,3.748,41.87,34.0,45.5125,11.25,21.99,55.4631,52.36,35.88,44.8598,19.17,40.41
2015-07-13,34.38,9.34,27.125,74.51,63.91,12.7,54.0,,23.5605,22.8511,14.63,17.33,27.86,45.625,74.0,16.3739,40.022,132.92,32.968,18.24,50.7,513.235,26.07,40.45,58.76,16.43,36.53,36.0,57.86,101.26,43.51,,46.92,91.11,2.62,52.0724,71.61,23.36,34.28,46.66,,24.945,39.99,32.17,51.69,43.9,76.92,29.6,3.9,42.28,34.39,46.1228,12.11,22.085,56.023,52.39,35.46,45.3167,19.24,40.98
2015-07-14,34.92,9.3,27.705,74.39,63.79,12.59,54.19,,23.7764,22.9235,14.51,17.65,28.2,45.545,74.67,16.4677,39.896,132.37,33.4,18.61,51.45,519.171,26.5033,41.08,58.2,16.02,36.11,36.3,57.66,102.03,44.16,,47.15,91.96,2.64,53.0605,71.22,23.3,34.82,46.46,,24.945,40.28,32.04,51.2,44.26,76.9,29.44,3.945,42.35,35.05,46.1593,12.04,22.175,56.0687,52.16,36.39,45.1783,18.91,41.46
2015-07-15,34.81,9.48,28.815,75.1,64.12,12.47,54.69,,24.2082,22.9517,14.58,17.59,28.48,45.76,76.58,16.2802,40.458,133.25,33.532,18.48,51.3,523.909,26.8,41.79,58.51,15.62,36.18,37.2,57.47,102.9,43.29,,47.11,91.82,2.6,53.8719,72.22,23.54,35.23,46.74,,24.94,39.98,32.41,51.45,45.0,77.25,29.6,3.79,42.83,35.16,46.7969,11.97,22.385,56.5372,52.71,36.12,45.3998,18.61,40.89
2015-07-16,34.56,9.68,28.96,75.52,64.93,11.97,55.12,,24.6189,23.1449,14.72,17.21,28.75,46.21,76.73,16.2653,40.642,133.73,33.666,18.61,52.25,535.118,26.6733,42.99,59.41,14.7,38.6,38.36,57.71,104.45,43.34,,47.09,91.65,2.64,54.1611,69.68,23.73,35.48,46.83,,25.225,40.59,32.53,52.08,44.82,77.91,29.71,3.82,42.84,35.24,47.3709,11.74,22.485,57.3599,53.3,35.27,45.6213,18.37,41.4
2015-07-17,32.92,9.72,29.245,75.28,64.37,11.35,55.35,,24.7401,23.1449,14.76,16.86,28.65,45.97,77.81,16.1765,40.988,133.87,33.598,18.17,52.31,537.642,26.7333,43.2,59.55,14.21,38.97,38.23,55.75,105.4,43.64,,46.91,91.4,2.46,54.5628,70.3,23.71,36.15,46.2,,25.04,40.32,32.5,53.05,44.68,77.3,30.14,4.198,42.99,34.58,47.3071,11.29,22.5,57.1313,53.03,34.71,45.8152,17.78,41.85
2015-07-20,29.42,9.5,29.095,74.66,63.72,9.58,54.52,,24.4083,22.513,14.79,16.91,28.6,45.67,78.95,15.5301,41.27,133.03,33.48,17.64,52.4,526.833,26.7,42.33,58.25,13.9,38.41,37.69,51.5,103.78,44.42,,45.85,90.68,2.15,54.3137,70.73,23.57,35.59,45.51,,24.935,40.01,32.27,52.06,44.81,77.16,29.78,4.372,42.64,33.86,46.4599,10.62,22.435,57.1199,52.7,33.9,45.2613,16.32,42.87
2015-07-21,30.18,9.41,29.005,74.2,63.21,9.68,53.51,,24.2608,21.9052,14.68,17.08,28.61,45.575,79.59,15.6732,38.994,131.36,33.576,17.87,51.7,540.352,26.4667,42.3,57.66,13.99,38.0,36.77,52.35,103.78,44.24,,45.9,91.05,2.21,54.0486,70.26,23.52,35.29,45.55,,24.61,39.29,32.15,50.81,44.25,76.62,29.73,4.3,42.72,33.35,45.7584,10.68,22.01,56.3201,52.46,33.79,45.3859,16.57,43.11
2015-07-22,30.38,9.35,29.1,73.67,63.02,9.59,52.81,,24.2872,21.8408,14.61,17.34,28.45,45.57,79.53,15.3277,41.02,131.44,33.346,17.53,50.94,554.641,26.1667,42.55,55.74,13.37,37.23,36.99,52.57,103.46,44.47,,45.84,90.17,2.24,54.2655,70.26,23.4,35.44,45.51,,24.825,38.66,32.1,52.1,43.83,76.48,29.86,4.206,42.41,33.55,44.9477,10.41,21.84,56.3315,52.35,33.6,44.7075,16.79,43.05
2015-07-23,29.17,9.34,29.51,73.38,62.53,9.21,52.19,,23.9501,22.1386,14.46,17.28,28.23,45.44,78.56,15.2093,40.276,131.43,33.734,17.65,50.93,554.612,26.18,42.04,55.32,12.29,36.85,36.61,51.29,106.85,44.47,,46.01,90.46,2.17,56.1052,70.2,22.81,35.36,45.18,,24.785,38.15,31.61,51.5,45.56,75.51,29.84,4.283,41.74,33.65,44.5833,9.93,21.915,56.103,52.18,33.28,44.5691,16.2,42.5
2015-07-24,31.26,9.37,29.425,73.07,62.31,9.47,53.44,,23.8501,21.7361,14.41,17.51,27.96,45.29,78.96,15.1451,40.896,130.34,34.084,17.5,50.8,555.099,25.9167,42.24,55.42,12.01,36.49,36.64,53.26,106.6,43.92,,45.65,90.22,2.22,56.5551,70.14,22.78,35.55,44.64,,24.42,37.73,30.98,52.2,45.92,74.59,29.92,4.356,41.44,33.08,45.0023,9.26,22.085,56.0344,51.86,32.35,44.306,16.87,42.59
